City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,karratha,-20.7377,116.8463,31.55,46,0,9.38,AU,1704183420
112,eilat,29.5581,34.9482,17.91,55,0,2.57,IL,1704183420
113,coruripe,-10.1256,-36.1756,24.52,87,7,3.72,BR,1704183420
114,happy valley-goose bay,53.3168,-60.3315,-11.83,79,75,1.03,CA,1704183420
115,georgetown,5.4112,100.3354,31.96,66,20,4.63,MY,1704183420
116,hamilton,39.1834,-84.5333,2.45,86,100,3.09,US,1704183276
117,imuris,30.7833,-110.8667,9.7,75,92,1.45,MX,1704183421
118,hithadhoo,-0.6,73.0833,27.71,75,80,1.64,MV,1704182856
119,atafu village,-8.5421,-172.5159,28.83,71,99,3.43,TK,1704183421
120,visby,57.6409,18.296,-2.88,68,100,7.2,SE,1704183421
121,flin flon,54.7682,-101.865,-10.95,90,100,4.03,CA,1704183421
122,taltal,-25.4,-70.4833,17.58,86,65,1.05,CL,1704183184
123,veraval,20.9,70.3667,26.86,35,0,2.71,IN,1704183421
124,afaahiti,-17.75,-149.2833,26.93,83,100,4.42,PF,1704183422
125,bethel,41.3712,-73.414,-1.7,72,0,1.79,US,1704183422
126,vorgashor,67.5833,63.95,-33.94,100,20,0.89,RU,1704183422
127,tame,6.461,-71.73,25.45,54,32,1.54,CO,1704183422
128,papao,-17.75,-149.55,27.82,78,100,3.59,PF,1704183159
129,port pirie,-33.1833,138.0167,27.98,39,7,6.66,AU,1704183423
130,kargasok,59.0556,80.8572,-11.69,94,100,2.68,RU,1704182855
131,tutoia,-2.7619,-42.2744,25.42,84,99,2.47,BR,1704183423
132,labytnangi,66.6572,66.4183,-30.42,96,72,1.19,RU,1704183423
133,tazacorte,28.629,-17.9293,19.54,86,0,3.6,ES,1704182852
134,monte alegre,-2.0078,-54.0692,24.21,85,45,1.74,BR,1704183424
135,jefferson city,38.5767,-92.1735,-3.31,86,0,1.54,US,1704183424
136,rudnichnyy,59.617,52.4703,-28.49,96,71,1.33,RU,1704183424
137,necocli,8.4234,-76.786,24.59,93,100,2.01,CO,1704183424
138,laguna de perlas,12.3429,-83.6712,23.46,92,17,3.6,NI,1704183424
139,prince george,53.9166,-122.753,-2.43,93,75,1.34,CA,1704183312
140,rumbek,6.802,29.6912,32.4,19,48,3.55,SS,1704183425
141,lae,-6.7221,146.9847,31.37,79,100,2.13,PG,1704183425
142,port-cartier,50.0334,-66.8654,-6.18,68,100,4.83,CA,1704183381
143,huruta,8.15,39.35,21.4,41,44,3.55,ET,1704183425
144,pasni,25.2631,63.471,23.86,56,6,2.96,PK,1704183426
145,manokwari,-0.8667,134.0833,28.35,75,94,1.44,ID,1704182853
146,tazovsky,67.4667,78.7,-32.91,95,7,3.65,RU,1704183426
147,east london,-33.0153,27.9116,21.52,83,100,6.69,ZA,1704183426
148,rockland,41.1668,-74.0496,-0.31,79,4,0.45,US,1704183307
149,tolanaro,-25.0319,46.9987,25.15,89,100,6.63,MG,1704183427
150,college,64.8569,-147.8028,-19.01,84,0,2.57,US,1704183322
151,berdigestyakh,62.0989,126.6992,-25.79,99,100,1.61,RU,1704183236
152,talnakh,69.4865,88.3972,-31.0,88,31,1.17,RU,1704183427
153,piacabucu,-10.4056,-36.4344,24.48,88,5,3.25,BR,1704183316
154,geraldton,-28.7667,114.6,26.23,57,0,11.32,AU,1704183427
155,eyl,7.9803,49.8164,29.36,44,61,9.36,SO,1704183428
156,lihue,21.9789,-159.3672,22.77,78,75,6.17,US,1704183344
157,cabo san lucas,22.8909,-109.9124,21.53,65,100,5.25,MX,1704183284
158,walvis bay,-22.9575,14.5053,21.95,51,6,2.36,NA,1704183428
159,greymouth,-42.4667,171.2,14.28,81,100,2.48,NZ,1704183180
160,margaret river,-33.95,115.0667,23.74,54,8,8.74,AU,1704183428
161,lawas,13.764,121.0566,28.88,74,53,4.51,PH,1704183429
162,wynyard,-41.0,145.7167,20.21,78,100,1.24,AU,1704183429
163,narasannapeta,18.4167,84.05,26.5,52,5,4.48,IN,1704183429
164,papatowai,-46.5619,169.4708,13.61,74,41,4.12,NZ,1704183429
165,kapuskasing,49.4169,-82.4331,-1.0,80,100,6.69,CA,1704183429
166,yunak,38.8142,31.7322,8.71,75,89,2.27,TR,1704183430
167,uturoa,-16.7333,-151.4333,27.85,81,100,4.33,PF,1704183430
168,hirara,24.8,125.2833,21.92,60,40,4.63,JP,1704183430
169,sundsvall,62.3913,17.3063,-11.02,85,100,4.12,SE,1704183430
170,cole harbour,44.6724,-63.4751,-4.29,80,14,0.89,CA,1704182598
171,zaysan,47.4667,84.8667,-1.52,86,91,0.61,KZ,1704183430
172,iqaluit,63.7506,-68.5145,-27.15,63,75,2.06,CA,1704183431
173,mossel bay,-34.1831,22.146,22.96,79,2,5.18,ZA,1704183431
174,anapa,44.8908,37.3239,12.19,93,0,8.0,RU,1704183324
175,sinnar,13.5691,33.5672,28.32,19,19,6.6,SD,1704183431
176,hilo,19.7297,-155.09,20.9,91,75,2.06,US,1704182818
177,cannonvale,-20.2833,148.7,27.66,77,79,3.7,AU,1704183432
178,posto fiscal rolim de moura,-13.0833,-62.2667,23.67,94,100,0.92,BR,1704183215
179,moab,38.5733,-109.5498,-3.97,55,0,0.52,US,1704183175
180,guiuan,11.0333,125.7247,28.3,71,100,4.94,PH,1704183432
181,callao,-12.0667,-77.15,23.18,78,75,5.66,PE,1704183172
182,wieliczka,49.9874,20.0647,5.29,77,84,4.14,PL,1704183432
183,timbuktu,16.7735,-3.0074,20.16,14,45,3.64,ML,1704183433
184,tobelo,1.7284,128.0095,29.26,73,35,1.59,ID,1704183433
185,ola,59.5833,151.2833,-26.38,90,49,2.76,RU,1704183433
186,natal,-5.795,-35.2094,24.12,94,100,2.06,BR,1704183206
187,itoman,26.1247,127.6694,21.01,49,40,3.09,JP,1704183160
188,kavieng,-2.5744,150.7967,28.73,76,73,3.18,PG,1704183433
189,fuerte olimpo,-21.0415,-57.8738,23.16,98,100,1.74,PY,1704183434
190,guerrero negro,27.9769,-114.0611,15.36,74,0,3.04,MX,1704183434
191,kavaratti,10.5669,72.642,27.31,76,87,3.73,IN,1704183434
192,superior,46.7208,-92.1041,-2.25,89,100,6.17,US,1704183352
193,alice springs,-23.7,133.8833,40.75,9,100,2.06,AU,1704183434
194,pacocha,-17.5833,-71.3333,19.79,89,96,2.41,PE,1704183435
195,kidal,18.4411,1.4078,20.97,15,61,3.11,ML,1704183435
196,gonzalez,30.5816,-87.2914,5.82,71,0,4.63,US,1704183435
197,thongwa,16.7619,96.5278,32.09,28,5,2.74,MM,1704183436
198,avarua,-21.2078,-159.775,25.03,78,1,5.14,CK,1704183436
199,badger,64.8,-147.5333,-19.05,86,0,2.57,US,1704183436
200,yingkou,40.6648,122.2283,-3.45,93,74,1.07,CN,1704183436
201,yuzhno-kurilsk,44.0306,145.8556,-2.01,72,100,5.3,RU,1704183436
202,aasiaat,68.7098,-52.8699,-20.76,87,67,3.98,GL,1704183437
203,aras-asan,8.8908,126.3033,25.67,90,100,0.23,PH,1704183173
204,thinadhoo,0.5333,72.9333,27.89,72,100,1.21,MV,1704183437
205,palapag,12.5458,125.1147,28.39,72,85,3.13,PH,1704183437
206,st. john's,47.5649,-52.7093,-5.12,81,75,5.66,CA,1704183437
207,yokadouma,3.5167,15.05,30.11,31,11,1.15,CM,1704183438
208,lionel town,17.8101,-77.2406,24.94,89,1,2.25,JM,1704183438
209,arkhangel'sk,64.5401,40.5433,-29.94,76,0,1.0,RU,1704183438
210,nangong,37.3581,115.3744,3.0,75,51,0.71,CN,1704183438
211,marsa alam,25.0757,34.8918,21.6,47,0,4.26,EG,1704183166
212,yaren,-0.5472,166.916,29.51,75,18,6.95,NR,1704183439
213,colon,9.3592,-79.9014,23.88,83,82,3.58,PA,1704183439
214,ancud,-41.8697,-73.8203,11.08,93,17,1.38,CL,1704183439
215,susuman,62.7833,148.1667,-31.12,98,100,0.45,RU,1704183160
216,udachny,66.4167,112.4,-33.64,99,100,2.05,RU,1704183439
217,katsuura,35.1333,140.3,8.01,92,100,2.07,JP,1704183440
218,stephenville,32.2207,-98.2023,0.98,93,0,0.0,US,1704183153
219,enewetak,11.3474,162.3373,27.69,73,99,8.63,MH,1704183440
220,marsh harbour,26.5412,-77.0636,20.11,58,100,6.68,BS,1704183440
221,dunedin,-45.8742,170.5036,12.67,91,100,1.79,NZ,1704183441
